Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE
Housing,Gross Rent,"$2,500 to $2,999",3546,(+/- 803 ),1116,(+/- 479 ),1234,(+/- 492 ),0,(+/- 198 ),840,(+/- 461 ),877,(+/- 576 ),9682,(+/- 1798 ),1947,(+/- 666 ),4355,(+/- 1232 ),1079,(+/- 638 )
Housing,Gross Rent,"$3,000 or more",2375,(+/- 677 ),1602,(+/- 824 ),300,(+/- 228 ),190,(+/- 151 ),370,(+/- 233 ),564,(+/- 337 ),6007,(+/- 1250 ),1332,(+/- 601 ),3205,(+/- 856 ),595,(+/- 422 )
Housing,Gross Rent,Median (dollars),1455,(+/- 55 ),1148,(+/- 25 ),991,(+/- 19 ),788,(+/- 22 ),819,(+/- 20 ),1030,(+/- 30 ),1428,(+/- 24 ),1159,(+/- 43 ),1347,(+/- 28 ),1128,(+/- 21 )
Housing,Gross Rent,No rent paid,3005,(+/- 884 ),4097,(+/- 974 ),3827,(+/- 914 ),7966,(+/- 1571 ),3811,(+/- 843 ),3440,(+/- 945 ),3473,(+/- 853 ),3752,(+/- 1235 ),2484,(+/- 802 ),3368,(+/- 1100 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,270730,(+/- 4492 ),278780,(+/- 4496 ),267226,(+/- 2599 ),239010,(+/- 3163 ),274826,(+/- 3192 ),278664,(+/- 4152 ),344997,(+/- 5634 ),261473,(+/- 4123 ),280742,(+/- 4001 ),271628,(+/- 5215 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",11329,(+/- 1750 ),15355,(+/- 2071 ),14640,(+/- 1890 ),14643,(+/- 1923 ),18895,(+/- 1842 ),17204,(+/- 1948 ),17111,(+/- 2175 ),10906,(+/- 1344 ),13160,(+/- 1974 ),14253,(+/- 1776 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",5332,(+/- 1020 ),10924,(+/- 1451 ),9861,(+/- 1382 ),10901,(+/- 1623 ),15268,(+/- 2274 ),11559,(+/- 1687 ),11606,(+/- 1852 ),7809,(+/- 1616 ),10761,(+/- 1709 ),10014,(+/- 1963 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",14122,(+/- 1855 ),19844,(+/- 2103 ),22076,(+/- 2688 ),26302,(+/- 2588 ),28560,(+/- 2814 ),23423,(+/- 2443 ),20157,(+/- 2417 ),15555,(+/- 1893 ),17695,(+/- 2262 ),21997,(+/- 2310 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",13731,(+/- 1809 ),22277,(+/- 2624 ),25191,(+/- 2632 ),24722,(+/- 2807 ),28621,(+/- 2257 ),24544,(+/- 2437 ),22466,(+/- 2444 ),15680,(+/- 1978 ),20038,(+/- 2324 ),23365,(+/- 2485 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",24026,(+/- 2217 ),38637,(+/- 2892 ),36873,(+/- 2655 ),34751,(+/- 2683 ),40919,(+/- 3516 ),37470,(+/- 2568 ),36056,(+/- 3051 ),29870,(+/- 2941 ),28551,(+/- 2489 ),35828,(+/- 2730 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",41186,(+/- 3187 ),50567,(+/- 3374 ),51229,(+/- 2661 ),47147,(+/- 3110 ),53098,(+/- 2852 ),55199,(+/- 3856 ),48924,(+/- 3530 ),43747,(+/- 3428 ),49557,(+/- 3654 ),56931,(+/- 3780 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",38663,(+/- 2968 ),41182,(+/- 2898 ),37510,(+/- 2882 ),29909,(+/- 2460 ),35291,(+/- 2781 ),39256,(+/- 3529 ),42196,(+/- 3717 ),36877,(+/- 3037 ),35114,(+/- 3199 ),41220,(+/- 3234 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",56391,(+/- 3176 ),46685,(+/- 3017 ),42153,(+/- 2959 ),32148,(+/- 2689 ),32056,(+/- 2676 ),43084,(+/- 2758 ),59882,(+/- 3984 ),51567,(+/- 2927 ),51266,(+/- 3697 ),43795,(+/- 3609 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",31105,(+/- 2671 ),18687,(+/- 2102 ),15544,(+/- 1801 ),11357,(+/- 1720 ),12218,(+/- 1699 ),13286,(+/- 1583 ),34263,(+/- 2492 ),22674,(+/- 1980 ),25249,(+/- 2425 ),13260,(+/- 1709 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",34845,(+/- 2862 ),14622,(+/- 1498 ),12149,(+/- 1348 ),7130,(+/- 1305 ),9900,(+/- 1479 ),13639,(+/- 1574 ),52336,(+/- 3686 ),26788,(+/- 2423 ),29351,(+/- 2363 ),10965,(+/- 1437 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),91018,(+/- 2344 ),65187,(+/- 1919 ),61304,(+/- 1374 ),52484,(+/- 1557 ),51697,(+/- 1357 ),60616,(+/- 2135 ),84579,(+/- 2813 ),79516,(+/- 2859 ),75407,(+/- 2716 ),62206,(+/- 1525 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),113292,(+/- 3137 ),82489,(+/- 2116 ),79188,(+/- 2100 ),69085,(+/- 2304 ),68916,(+/- 1795 ),79268,(+/- 2541 ),119424,(+/- 4836 ),101022,(+/- 2900 ),103382,(+/- 2887 ),77271,(+/- 2005 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,732364,(+/- 9326 ),714205,(+/- 9326 ),716631,(+/- 3639 ),708091,(+/- 3380 ),694847,(+/- 2810 ),676017,(+/- 9007 ),761047,(+/- 11862 ),735479,(+/- 11418 ),734401,(+/- 12087 ),711028,(+/- 11981 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,700736,(+/- 9973 ),669786,(+/- 8949 ),679142,(+/- 5939 ),633390,(+/- 6862 ),657734,(+/- 4437 ),632464,(+/- 8788 ),726337,(+/- 12735 ),697746,(+/- 10577 ),689572,(+/- 11639 ),669111,(+/- 11356 )
Socioeconomic,Health Insurance Coverage,With private health insurance,586289,(+/- 10286 ),522963,(+/- 9781 ),496505,(+/- 9570 ),391063,(+/- 10471 ),467205,(+/- 9851 ),469492,(+/- 9518 ),616809,(+/- 12012 ),563841,(+/- 11484 ),504306,(+/- 12883 ),511940,(+/- 12715 )
Socioeconomic,Health Insurance Coverage,With public coverage,195979,(+/- 9310 ),250236,(+/- 8235 ),292677,(+/- 8800 ),333775,(+/- 9296 ),295355,(+/- 9185 ),282361,(+/- 9406 ),181899,(+/- 8703 ),220397,(+/- 8099 ),252542,(+/- 11793 ),263149,(+/- 10417 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,31628,(+/- 3926 ),44419,(+/- 5208 ),37489,(+/- 3891 ),74701,(+/- 5829 ),37113,(+/- 3732 ),43553,(+/- 4039 ),34710,(+/- 4317 ),37733,(+/- 4996 ),44829,(+/- 5042 ),41917,(+/- 5432 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,173569,(+/- 6146 ),149250,(+/- 4976 ),169716,(+/- 2151 ),206136,(+/- 1513 ),152032,(+/- 1595 ),140090,(+/- 4985 ),120446,(+/- 6792 ),185785,(+/- 6922 ),159378,(+/- 7596 ),170902,(+/- 5713 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,3853,(+/- 1200 ),4541,(+/- 1544 ),3443,(+/- 1222 ),6336,(+/- 1716 ),3260,(+/- 1231 ),4980,(+/- 1904 ),2728,(+/- 1121 ),5494,(+/- 1895 ),1928,(+/- 1027 ),4873,(+/- 1615 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,3.8,(+/- 0.6 ),7.2,(+/- 1.0 ),6.9,(+/- 0.9 ),10.9,(+/- 1.1 ),7.8,(+/- 1.0 ),8.0,(+/- 1.0 ),4.6,(+/- 0.9 ),5.2,(+/- 0.8 ),8.6,(+/- 1.3 ),9.1,(+/- 1.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,5.1,(+/- 1.0 ),11.0,(+/- 1.7 ),10.3,(+/- 1.7 ),17.9,(+/- 2.1 ),11.9,(+/- 1.8 ),14.4,(+/- 2.2 ),5.7,(+/- 1.5 ),7.0,(+/- 1.3 ),13.2,(+/- 2.4 ),14.6,(+/- 2.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,2.8,(+/- 1.9 ),7.2,(+/- 3.7 ),11.1,(+/- 3.9 ),17.8,(+/- 5.8 ),15.3,(+/- 5.5 ),16.4,(+/- 5.5 ),3.8,(+/- 2.4 ),7.5,(+/- 3.9 ),13.2,(+/- 4.7 ),17.3,(+/- 5.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,1.7,(+/- 0.5 ),3.9,(+/- 1.0 ),3.7,(+/- 0.7 ),5.6,(+/- 0.9 ),4.2,(+/- 0.9 ),3.7,(+/- 0.8 ),2.2,(+/- 0.6 ),2.9,(+/- 0.8 ),5.5,(+/- 1.0 ),4.9,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,1.5,(+/- 0.6 ),4.9,(+/- 1.8 ),4.4,(+/- 1.2 ),9.9,(+/- 2.0 ),5.4,(+/- 1.7 ),5.4,(+/- 1.8 ),1.8,(+/- 0.9 ),2.9,(+/- 1.1 ),8.6,(+/- 2.1 ),7.2,(+/- 2.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,0.3,(+/- 0.4 ),1.8,(+/- 1.6 ),3.5,(+/- 3.4 ),9.7,(+/- 4.9 ),4.0,(+/- 2.8 ),3.7,(+/- 2.5 ),2.2,(+/- 2.0 ),1.9,(+/- 1.4 ),5.7,(+/- 3.1 ),7.5,(+/- 4.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",15.1,(+/- 3.5 ),22.2,(+/- 3.8 ),24.7,(+/- 5.3 ),29.1,(+/- 4.4 ),21.1,(+/- 3.9 ),28.4,(+/- 5.3 ),17.7,(+/- 4.6 ),17.5,(+/- 3.6 ),18.4,(+/- 3.8 ),25.5,(+/- 4.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,22.6,(+/- 5.5 ),31.5,(+/- 5.7 ),33.7,(+/- 7.5 ),36.5,(+/- 5.1 ),27.2,(+/- 6.1 ),40.8,(+/- 7.8 ),23.4,(+/- 6.8 ),23.5,(+/- 5.0 ),26.0,(+/- 5.5 ),34.0,(+/- 6.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,19.5,(+/- 12.0 ),24.1,(+/- 13.5 ),34.1,(+/- 13.7 ),29.3,(+/- 12.3 ),43.3,(+/- 17.0 ),67.1,(+/- 14.1 ),17.9,(+/- 17.0 ),25.6,(+/- 14.1 ),32.7,(+/- 17.3 ),44.3,(+/- 14.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,6.5,(+/- 0.7 ),11.6,(+/- 1.0 ),11.1,(+/- 0.9 ),15.7,(+/- 1.2 ),14.0,(+/- 1.0 ),12.2,(+/- 1.0 ),9.2,(+/- 0.8 ),8.4,(+/- 0.9 ),12.0,(+/- 1.3 ),12.4,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,5.6,(+/- 1.2 ),12.3,(+/- 2.0 ),12.0,(+/- 1.9 ),22.8,(+/- 2.4 ),14.6,(+/- 2.5 ),15.6,(+/- 2.5 ),7.4,(+/- 2.4 ),9.0,(+/- 2.0 ),18.3,(+/- 3.3 ),16.7,(+/- 2.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,5.1,(+/- 1.1 ),11.7,(+/- 2.1 ),11.1,(+/- 1.9 ),22.5,(+/- 2.4 ),14.1,(+/- 2.5 ),15.2,(+/- 2.5 ),7.0,(+/- 2.4 ),8.8,(+/- 1.9 ),17.8,(+/- 3.3 ),16.3,(+/- 2.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,4.5,(+/- 2.1 ),10.7,(+/- 3.2 ),13.5,(+/- 2.9 ),26.3,(+/- 4.1 ),18.0,(+/- 4.3 ),16.5,(+/- 4.0 ),6.5,(+/- 3.1 ),9.9,(+/- 2.9 ),19.6,(+/- 5.0 ),18.2,(+/- 3.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,5.4,(+/- 1.3 ),12.1,(+/- 2.3 ),10.3,(+/- 2.0 ),21.1,(+/- 2.6 ),12.6,(+/- 2.4 ),14.7,(+/- 2.9 ),7.2,(+/- 2.7 ),8.4,(+/- 2.1 ),17.1,(+/- 3.2 ),15.6,(+/- 2.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,6.8,(+/- 0.7 ),11.4,(+/- 1.0 ),10.8,(+/- 0.9 ),12.8,(+/- 0.9 ),13.9,(+/- 0.8 ),11.3,(+/- 0.9 ),9.5,(+/- 0.7 ),8.1,(+/- 0.8 ),10.2,(+/- 0.9 ),11.1,(+/- 0.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,6.9,(+/- 1.3 ),8.5,(+/- 1.9 ),8.1,(+/- 1.5 ),8.7,(+/- 1.5 ),7.6,(+/- 1.2 ),6.4,(+/- 1.1 ),7.7,(+/- 1.6 ),6.4,(+/- 1.5 ),9.0,(+/- 1.4 ),7.4,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,3.6,(+/- 0.6 ),7.4,(+/- 1.1 ),7.4,(+/- 0.9 ),13.4,(+/- 1.3 ),8.6,(+/- 1.2 ),8.6,(+/- 1.2 ),4.7,(+/- 1.0 ),5.5,(+/- 0.9 ),9.8,(+/- 1.6 ),9.6,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,20.5,(+/- 2.2 ),24.8,(+/- 2.0 ),27.0,(+/- 2.1 ),27.8,(+/- 2.2 ),31.4,(+/- 1.9 ),24.3,(+/- 2.0 ),17.4,(+/- 1.2 ),24.0,(+/- 2.5 ),19.2,(+/- 1.7 ),23.8,(+/- 2.2 )
Education,School Enrollment,Population 3 years and over enrolled in school,179058,(+/- 6430 ),172375,(+/- 6090 ),170639,(+/- 3967 ),195024,(+/- 3576 ),185686,(+/- 4458 ),147750,(+/- 5469 ),166075,(+/- 7967 ),187201,(+/- 7841 ),168310,(+/- 7418 ),172688,(+/- 6095 )
Education,School Enrollment,"Nursery school, preschool",16641,(+/- 2190 ),9203,(+/- 1529 ),10219,(+/- 1424 ),8875,(+/- 1606 ),9750,(+/- 1532 ),10586,(+/- 1470 ),12339,(+/- 1934 ),12872,(+/- 1872 ),10380,(+/- 1719 ),9258,(+/- 1564 )
Education,School Enrollment,Kindergarten,8672,(+/- 1211 ),6847,(+/- 1177 ),6520,(+/- 1288 ),11371,(+/- 1917 ),6802,(+/- 1338 ),6756,(+/- 1189 ),7215,(+/- 1420 ),11100,(+/- 1617 ),7959,(+/- 1503 ),8180,(+/- 1330 )
Education,School Enrollment,Elementary school (grades 1-8),74886,(+/- 3943 ),66525,(+/- 3267 ),77650,(+/- 2316 ),97204,(+/- 2705 ),69435,(+/- 2280 ),61602,(+/- 3043 ),52580,(+/- 4212 ),79818,(+/- 3984 ),69750,(+/- 4589 ),74068,(+/- 3202 )
Education,School Enrollment,High school (grades 9-12),37697,(+/- 2960 ),33867,(+/- 2901 ),41900,(+/- 1786 ),46082,(+/- 3011 ),33278,(+/- 1909 ),30405,(+/- 2432 ),23498,(+/- 2358 ),43586,(+/- 3549 ),36502,(+/- 3137 ),36066,(+/- 2528 )
Education,School Enrollment,College or graduate school,41162,(+/- 3493 ),55933,(+/- 4062 ),34350,(+/- 2889 ),31492,(+/- 2907 ),66421,(+/- 3375 ),38401,(+/- 3486 ),70443,(+/- 4828 ),39825,(+/- 3804 ),43719,(+/- 3583 ),45116,(+/- 4338 )
Education,Educational Attainment,Population 25 years and over,512260,(+/- 7591 ),502673,(+/- 6705 ),494070,(+/- 2741 ),443185,(+/- 2638 ),474133,(+/- 2487 ),499615,(+/- 5653 ),567356,(+/- 8554 ),490032,(+/- 7295 ),521562,(+/- 8208 ),491669,(+/- 7429 )
Education,Educational Attainment,Less than 9th grade,12442,(+/- 2250 ),14675,(+/- 2673 ),13576,(+/- 2123 ),51654,(+/- 3592 ),8884,(+/- 1404 ),12940,(+/- 2265 ),12089,(+/- 2446 ),19510,(+/- 3059 ),30181,(+/- 3244 ),16230,(+/- 2592 )
Education,Educational Attainment,"9th to 12th grade, no diploma",18579,(+/- 2410 ),27941,(+/- 2747 ),31464,(+/- 2828 ),36483,(+/- 2983 ),23211,(+/- 2519 ),27160,(+/- 3070 ),17346,(+/- 2226 ),27852,(+/- 3154 ),29465,(+/- 3478 ),27155,(+/- 2934 )
Education,Educational Attainment,High school graduate (includes equivalency),102093,(+/- 6501 ),122024,(+/- 6036 ),131890,(+/- 5017 ),118709,(+/- 5732 ),114075,(+/- 4733 ),126188,(+/- 5892 ),60990,(+/- 3834 ),113410,(+/- 6232 ),99053,(+/- 5607 ),123354,(+/- 5820 )
Education,Educational Attainment,"Some college, no degree",111004,(+/- 5047 ),131560,(+/- 6109 ),136437,(+/- 5044 ),107888,(+/- 4357 ),126267,(+/- 5224 ),135879,(+/- 5273 ),92533,(+/- 4558 ),110602,(+/- 5146 ),99974,(+/- 5416 ),126628,(+/- 5502 )
Education,Educational Attainment,Associate's degree,46055,(+/- 3713 ),54195,(+/- 3837 ),55053,(+/- 3666 ),39286,(+/- 3362 ),57713,(+/- 3483 ),48984,(+/- 3377 ),38247,(+/- 3059 ),49492,(+/- 3746 ),45013,(+/- 3664 ),57412,(+/- 3789 )
Education,Educational Attainment,Bachelor's degree,141566,(+/- 5284 ),98925,(+/- 3952 ),81559,(+/- 4174 ),54519,(+/- 3701 ),89001,(+/- 4483 ),94834,(+/- 4875 ),198514,(+/- 5874 ),111743,(+/- 4677 ),134364,(+/- 5892 ),93484,(+/- 4228 )
Education,Educational Attainment,Graduate or professional degree,80521,(+/- 4392 ),53353,(+/- 3439 ),44091,(+/- 3370 ),34646,(+/- 3029 ),54982,(+/- 3227 ),53630,(+/- 3323 ),147637,(+/- 5909 ),57423,(+/- 3721 ),83512,(+/- 4355 ),47406,(+/- 3777 )
Education,Educational Attainment,Percent high school graduate or higher,93.9,(+/- 0.5 ),91.5,(+/- 0.8 ),90.9,(+/- 0.7 ),80.1,(+/- 0.9 ),93.2,(+/- 0.6 ),92.0,(+/- 0.7 ),94.8,(+/- 0.6 ),90.3,(+/- 0.8 ),88.6,(+/- 0.9 ),91.2,(+/- 0.8 )
Education,Educational Attainment,Percent bachelor's degree or higher,43.4,(+/- 1.1 ),30.3,(+/- 1.0 ),25.4,(+/- 1.1 ),20.1,(+/- 1.1 ),30.4,(+/- 1.1 ),29.7,(+/- 1.1 ),61.0,(+/- 0.9 ),34.5,(+/- 1.1 ),41.8,(+/- 1.1 ),28.7,(+/- 1.0 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District 01 Estimate,District 01 Flag,District 02 Estimate,District 02 Flag,District 03 Estimate,District 03 Flag,District 04 Estimate,District 04 Flag,District 05 Estimate,District 05 Flag,District 06 Estimate,District 06 Flag,District 07 Estimate,District 07 Flag,District 08 Estimate,District 08 Flag,District 09 Estimate,District 09 Flag,District 10 Estimate,District 10 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,264413,G,271300,G,186087,G,183213,G,225334,G,190382,G,450490,G,168279,G,430541,G,199408,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",603,G,450,J,2806,G,4053,G,450,G,1030,H,1511,G,2139,G,47,H,864,H
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",231,G,106,G,250,H,187,H,682,G,57,J,49,H,248,H,e,D,365,J
Business,Paid employees for pay period including March 12,Utilities,767,J,390,J,532,H,494,H,1798,H,489,H,115,J,g,D,g,D,293,G
Business,Paid employees for pay period including March 12,Construction,24006,G,19222,G,15301,G,11147,G,12413,G,10093,G,18814,G,15782,G,22322,G,14831,G
Business,Paid employees for pay period including March 12,Manufacturing,27256,G,64529,H,24295,G,23209,G,20429,G,9278,G,17475,G,17235,H,44524,H,14084,G
Business,Paid employees for pay period including March 12,Wholesale trade,12494,G,8919,G,8427,G,12029,G,12166,G,4592,G,16153,G,13228,G,29758,G,10026,G
Business,Paid employees for pay period including March 12,Retail trade,24920,G,43546,G,27128,G,29799,G,33486,G,32681,G,41172,G,26153,G,39545,G,32242,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,5654,H,6008,G,5769,G,7444,G,5693,G,3637,H,16932,G,7438,H,27130,G,10833,G
Business,Paid employees for pay period including March 12,Information,48682,H,5484,G,3959,H,2356,H,4388,G,2799,G,28604,G,3591,H,22052,G,4283,H
Business,Paid employees for pay period including March 12,Finance and insurance,5751,G,10215,H,6907,G,4329,G,11955,G,7074,G,20976,G,3053,H,15678,H,8779,H
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,4034,G,3776,G,3120,G,2736,G,3978,G,3546,G,10294,G,2256,G,8320,G,3974,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",22816,G,11569,G,10273,G,10509,H,10189,G,9890,G,57864,G,5830,G,26290,G,8829,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,4256,H,2267,H,2825,G,875,G,2983,G,4059,H,37492,H,3924,H,25614,H,2874,H
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,15845,G,10727,G,9644,G,13575,G,12471,G,9220,G,18086,G,7326,H,38993,G,9746,G
Business,Paid employees for pay period including March 12,Educational services,5577,G,2802,G,2096,G,2436,G,9908,G,4149,H,11565,G,1900,H,8996,G,5422,H
Business,Paid employees for pay period including March 12,Health care and social assistance,23093,G,35836,G,31400,G,28036,G,45623,G,47511,G,66371,G,20464,G,60080,G,33840,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",5691,G,4042,G,3676,G,4223,G,3637,G,4550,H,12765,G,8098,H,7065,H,6138,G
Business,Paid employees for pay period including March 12,Accommodation and food services,22802,G,29984,G,19308,G,18460,G,23281,G,24699,G,53427,G,19396,G,35572,G,21551,G
Business,Paid employees for pay period including March 12,Other services (except public administration),9862,G,11359,G,8282,G,7269,G,9734,G,10946,G,20701,G,7861,G,16477,G,10366,G
Business,Paid employees for pay period including March 12,Industries not classified,73,J,69,G,89,J,47,J,70,G,82,H,124,J,36,J,75,J,68,J
Business,"Annual payroll ($1,000)",Total for all sectors,21660238,G,13325219,G,8565103,G,7763405,G,9540130,G,7891394,G,33107240,G,8100465,G,28264379,G,8322649,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",27409,G,27283,H,142768,G,154618,G,21948,G,55886,G,121811,G,97761,H,2986,G,46076,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",11191,G,7238,G,18105,H,10649,H,59827,G,3542,H,5205,G,12805,H,D,D,21412,H
Business,"Annual payroll ($1,000)",Utilities,72171,J,34333,J,47688,H,38341,G,187628,H,42838,H,10181,J,D,D,D,D,26255,G
Business,"Annual payroll ($1,000)",Construction,1508084,G,1138399,G,885767,G,586208,G,687645,G,556040,G,1363185,G,887952,G,1579426,G,876154,G
Business,"Annual payroll ($1,000)",Manufacturing,1814801,G,4832090,H,1413926,G,1146644,G,1047727,G,464448,G,973893,G,1124731,H,3371085,H,744021,G
Business,"Annual payroll ($1,000)",Wholesale trade,937976,G,475471,G,676780,H,634803,G,667200,G,252214,G,1237890,G,762545,G,2129940,G,571299,G
Business,"Annual payroll ($1,000)",Retail trade,811225,G,1262817,G,777135,G,802405,G,955227,G,956377,G,1453933,G,771941,G,1311887,G,976091,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,233587,G,300464,G,272689,G,317990,G,254700,G,135399,H,1316750,G,331619,G,1530201,G,496414,G
Business,"Annual payroll ($1,000)",Information,10293989,H,320756,G,230715,G,103201,H,244812,H,155784,G,3882944,G,353398,H,3699192,G,195169,H
Business,"Annual payroll ($1,000)",Finance and insurance,438074,G,726325,H,504719,G,260175,G,764657,G,475004,G,2489765,G,190922,G,1517044,H,538332,H
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,241116,G,153294,G,117486,G,88163,G,147268,G,128185,G,654235,G,95619,G,508156,G,143485,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",2015877,G,704811,G,545166,G,757055,H,643640,G,584831,G,5838053,G,351083,G,2379032,G,507744,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,361759,H,163570,H,269269,G,75216,G,243439,G,296418,H,5565531,H,585427,J,2570023,H,180403,H
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,708019,G,372251,G,322426,G,810805,H,359990,G,324047,G,878222,G,340857,G,2088907,G,288868,G
Business,"Annual payroll ($1,000)",Educational services,147986,G,77846,H,45936,G,66176,G,236534,G,117927,H,412719,G,35934,H,306579,G,128096,H
Business,"Annual payroll ($1,000)",Health care and social assistance,1128521,G,1657827,G,1647723,G,1321857,G,2283597,G,2452542,G,4094187,H,999858,G,3296911,G,1696426,G
