Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE,District 28 Estimate,District 28 MOE,District 29 Estimate,District 29 MOE,District 30 Estimate,District 30 MOE,District 31 Estimate,District 31 MOE,District 32 Estimate,District 32 MOE,District 33 Estimate,District 33 MOE,District 34 Estimate,District 34 MOE,District 35 Estimate,District 35 MOE,District 36 Estimate,District 36 MOE
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,67145,(+/- 3950 ),88033,(+/- 5002 ),98059,(+/- 4256 ),74667,(+/- 4492 ),72944,(+/- 3920 ),80193,(+/- 4414 ),96400,(+/- 5733 ),88663,(+/- 5567 ),88318,(+/- 5855 ),99004,(+/- 5447 ),74735,(+/- 4436 ),90981,(+/- 4415 ),71459,(+/- 3768 ),79532,(+/- 4319 ),62949,(+/- 4028 ),61518,(+/- 3939 ),85448,(+/- 4882 ),86046,(+/- 4481 ),71175,(+/- 3632 ),71307,(+/- 4107 ),96823,(+/- 5585 ),97262,(+/- 5426 ),61409,(+/- 4191 ),99404,(+/- 5468 ),82723,(+/- 3855 ),90820,(+/- 4843 ),69397,(+/- 4084 ),57261,(+/- 3897 ),66036,(+/- 4737 ),80846,(+/- 4349 ),91443,(+/- 4489 ),86767,(+/- 4214 ),72708,(+/- 4236 ),51287,(+/- 3501 ),85359,(+/- 4740 ),67569,(+/- 4755 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,69555,(+/- 4172 ),79489,(+/- 5145 ),83766,(+/- 4462 ),77364,(+/- 3793 ),70514,(+/- 3912 ),74255,(+/- 3702 ),75409,(+/- 4551 ),86209,(+/- 6180 ),66448,(+/- 4309 ),77490,(+/- 4384 ),65250,(+/- 3175 ),69196,(+/- 3687 ),61633,(+/- 3597 ),70842,(+/- 4109 ),66061,(+/- 3719 ),58635,(+/- 3920 ),64011,(+/- 4145 ),62608,(+/- 4373 ),54699,(+/- 3116 ),59306,(+/- 4075 ),76962,(+/- 3811 ),82530,(+/- 4653 ),63550,(+/- 3514 ),63517,(+/- 3531 ),76120,(+/- 3968 ),79906,(+/- 3830 ),66056,(+/- 3742 ),63159,(+/- 3981 ),61825,(+/- 4375 ),61519,(+/- 3651 ),69107,(+/- 4130 ),69570,(+/- 3864 ),55111,(+/- 4080 ),62996,(+/- 3606 ),58353,(+/- 3206 ),72410,(+/- 4337 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,33475,(+/- 2836 ),30472,(+/- 2590 ),31565,(+/- 2500 ),31341,(+/- 2315 ),30553,(+/- 2562 ),32730,(+/- 2631 ),28430,(+/- 2689 ),29679,(+/- 3196 ),24750,(+/- 2217 ),28605,(+/- 2552 ),34627,(+/- 2644 ),28615,(+/- 2430 ),29551,(+/- 2245 ),31788,(+/- 2558 ),24662,(+/- 2779 ),31010,(+/- 2615 ),29549,(+/- 2987 ),22278,(+/- 2079 ),30746,(+/- 2030 ),28064,(+/- 2393 ),33701,(+/- 3017 ),28428,(+/- 2898 ),29205,(+/- 2372 ),30226,(+/- 2349 ),28224,(+/- 2031 ),26394,(+/- 2220 ),31834,(+/- 2531 ),29082,(+/- 2364 ),27041,(+/- 2452 ),28439,(+/- 2210 ),24146,(+/- 2260 ),28786,(+/- 2569 ),25931,(+/- 2457 ),29147,(+/- 2438 ),25348,(+/- 2268 ),33467,(+/- 2833 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,13264,(+/- 1502 ),9629,(+/- 1669 ),8953,(+/- 1285 ),16212,(+/- 1809 ),14402,(+/- 1518 ),13298,(+/- 1718 ),12116,(+/- 1747 ),9879,(+/- 1564 ),12887,(+/- 1626 ),12785,(+/- 1452 ),15827,(+/- 1830 ),13767,(+/- 1648 ),17403,(+/- 1795 ),14213,(+/- 1721 ),13033,(+/- 1602 ),15031,(+/- 1696 ),11301,(+/- 1351 ),11285,(+/- 1387 ),18187,(+/- 2021 ),14708,(+/- 1844 ),14585,(+/- 1922 ),9297,(+/- 1210 ),15599,(+/- 1681 ),11314,(+/- 1446 ),12536,(+/- 1696 ),9922,(+/- 1599 ),18364,(+/- 1769 ),14578,(+/- 1804 ),14591,(+/- 1986 ),13245,(+/- 1742 ),10186,(+/- 1541 ),14561,(+/- 1485 ),9835,(+/- 1359 ),14517,(+/- 1853 ),12240,(+/- 1581 ),15235,(+/- 1951 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,15614,(+/- 1921 ),8453,(+/- 1250 ),3660,(+/- 923 ),17530,(+/- 1980 ),13025,(+/- 1441 ),8558,(+/- 1102 ),8556,(+/- 1068 ),6792,(+/- 1267 ),13980,(+/- 1583 ),10673,(+/- 1445 ),16488,(+/- 1771 ),11469,(+/- 1494 ),17270,(+/- 1386 ),17767,(+/- 1764 ),15720,(+/- 1761 ),17691,(+/- 1428 ),11402,(+/- 1526 ),20234,(+/- 1950 ),19761,(+/- 2134 ),19353,(+/- 1932 ),10484,(+/- 1564 ),8041,(+/- 1512 ),15958,(+/- 1957 ),9143,(+/- 1429 ),10719,(+/- 1333 ),4031,(+/- 820 ),21836,(+/- 2120 ),13013,(+/- 1506 ),14857,(+/- 1812 ),17907,(+/- 1935 ),8067,(+/- 1260 ),11192,(+/- 1299 ),15352,(+/- 1612 ),17388,(+/- 2036 ),15697,(+/- 1602 ),15359,(+/- 1564 )
Housing,Value,Owner-occupied units,164037,(+/- 4247 ),176892,(+/- 5480 ),198422,(+/- 3655 ),189257,(+/- 4612 ),160070,(+/- 5057 ),172665,(+/- 4840 ),152057,(+/- 5068 ),195651,(+/- 5973 ),125313,(+/- 4604 ),192081,(+/- 5706 ),179251,(+/- 4450 ),174292,(+/- 4526 ),164668,(+/- 4569 ),173120,(+/- 3905 ),147736,(+/- 4959 ),140638,(+/- 4894 ),155291,(+/- 4193 ),130920,(+/- 5105 ),156909,(+/- 4743 ),138954,(+/- 4583 ),185479,(+/- 5155 ),204537,(+/- 5546 ),159791,(+/- 5311 ),146779,(+/- 4493 ),184023,(+/- 4940 ),200077,(+/- 4208 ),166914,(+/- 4573 ),147511,(+/- 5141 ),121448,(+/- 4825 ),134880,(+/- 4082 ),175293,(+/- 4568 ),157745,(+/- 3729 ),106997,(+/- 3828 ),141931,(+/- 3808 ),130158,(+/- 4626 ),173684,(+/- 5298 )
Housing,Value,"Less than $50,000",27513,(+/- 2289 ),3910,(+/- 1134 ),3846,(+/- 1059 ),30633,(+/- 2527 ),19767,(+/- 2091 ),9099,(+/- 1199 ),2220,(+/- 675 ),21222,(+/- 3455 ),7195,(+/- 1388 ),9228,(+/- 1751 ),30020,(+/- 2845 ),8745,(+/- 1157 ),30326,(+/- 2867 ),19050,(+/- 1963 ),30572,(+/- 3319 ),8572,(+/- 1431 ),15512,(+/- 1925 ),10733,(+/- 1631 ),31040,(+/- 2521 ),9005,(+/- 1478 ),6707,(+/- 1278 ),7377,(+/- 1651 ),28473,(+/- 2230 ),2469,(+/- 705 ),11995,(+/- 1470 ),6276,(+/- 1388 ),19895,(+/- 1816 ),21499,(+/- 2428 ),10472,(+/- 1762 ),13380,(+/- 1916 ),8918,(+/- 1630 ),4841,(+/- 904 ),13549,(+/- 1539 ),39902,(+/- 3105 ),12701,(+/- 1441 ),26256,(+/- 3018 )
Housing,Value,"$50,000 to $99,999",38260,(+/- 3034 ),11797,(+/- 2006 ),4761,(+/- 1288 ),47620,(+/- 3035 ),38139,(+/- 2539 ),23055,(+/- 2042 ),5730,(+/- 1452 ),25405,(+/- 3036 ),33819,(+/- 3064 ),13305,(+/- 1882 ),37028,(+/- 2789 ),28921,(+/- 2857 ),44175,(+/- 2917 ),35936,(+/- 3114 ),45781,(+/- 3124 ),35369,(+/- 2404 ),29308,(+/- 2632 ),34241,(+/- 2514 ),44583,(+/- 2953 ),38966,(+/- 2947 ),9044,(+/- 1460 ),7139,(+/- 1672 ),41627,(+/- 3043 ),5281,(+/- 902 ),25101,(+/- 2302 ),8425,(+/- 1189 ),41053,(+/- 2992 ),43442,(+/- 3099 ),50431,(+/- 3275 ),43814,(+/- 2687 ),16386,(+/- 1929 ),11843,(+/- 1776 ),47806,(+/- 3062 ),49502,(+/- 3240 ),36014,(+/- 2677 ),38640,(+/- 2931 )
Housing,Value,"$100,000 to $149,999",30084,(+/- 2825 ),27183,(+/- 2476 ),9549,(+/- 1450 ),32436,(+/- 2913 ),31144,(+/- 2743 ),41224,(+/- 3604 ),22080,(+/- 2778 ),22115,(+/- 2446 ),39337,(+/- 3097 ),22445,(+/- 2068 ),31002,(+/- 2461 ),36606,(+/- 2951 ),32085,(+/- 2521 ),30400,(+/- 3102 ),24072,(+/- 2485 ),45191,(+/- 3216 ),28124,(+/- 2451 ),30259,(+/- 2994 ),27329,(+/- 2323 ),33055,(+/- 2829 ),15406,(+/- 1856 ),20636,(+/- 2296 ),23662,(+/- 2038 ),20547,(+/- 1872 ),22002,(+/- 2497 ),22236,(+/- 2015 ),33154,(+/- 2615 ),31121,(+/- 3085 ),34219,(+/- 3002 ),34705,(+/- 2690 ),23099,(+/- 2238 ),27301,(+/- 2025 ),25574,(+/- 2597 ),20618,(+/- 2402 ),24032,(+/- 2438 ),33043,(+/- 2616 )
Housing,Value,"$150,000 to $199,999",27189,(+/- 2565 ),37467,(+/- 2976 ),21232,(+/- 2346 ),24542,(+/- 2104 ),25307,(+/- 2510 ),40437,(+/- 3000 ),24921,(+/- 2748 ),30204,(+/- 3108 ),26352,(+/- 2764 ),35251,(+/- 3540 ),28893,(+/- 2423 ),31886,(+/- 2624 ),22772,(+/- 2033 ),30380,(+/- 2699 ),19340,(+/- 2424 ),25769,(+/- 2908 ),25297,(+/- 2717 ),19791,(+/- 2364 ),21900,(+/- 2144 ),26870,(+/- 2127 ),24367,(+/- 2496 ),30419,(+/- 3120 ),17527,(+/- 2108 ),24791,(+/- 2574 ),22836,(+/- 2370 ),34396,(+/- 2848 ),26372,(+/- 2472 ),23738,(+/- 2068 ),14377,(+/- 2132 ),19145,(+/- 1867 ),30540,(+/- 2725 ),28100,(+/- 2348 ),11784,(+/- 1832 ),14253,(+/- 1784 ),27409,(+/- 2566 ),29979,(+/- 2739 )
Housing,Value,"$200,000 to $299,999",22205,(+/- 2692 ),40711,(+/- 3415 ),62036,(+/- 3017 ),29231,(+/- 2205 ),21628,(+/- 2133 ),34957,(+/- 2594 ),33080,(+/- 2957 ),42782,(+/- 4255 ),13933,(+/- 1664 ),49096,(+/- 3348 ),27127,(+/- 2399 ),32935,(+/- 3129 ),19743,(+/- 2122 ),30802,(+/- 2464 ),19013,(+/- 2057 ),16941,(+/- 2951 ),31748,(+/- 2634 ),13302,(+/- 2128 ),18667,(+/- 1951 ),21317,(+/- 2093 ),51523,(+/- 3743 ),63439,(+/- 4703 ),20067,(+/- 2138 ),35926,(+/- 2685 ),27916,(+/- 2465 ),56165,(+/- 2953 ),26859,(+/- 2725 ),17102,(+/- 2063 ),7216,(+/- 1670 ),13410,(+/- 1813 ),53100,(+/- 3271 ),29827,(+/- 2339 ),4987,(+/- 913 ),10946,(+/- 1721 ),22420,(+/- 1877 ),26949,(+/- 2220 )
Housing,Value,"$300,000 to $499,999",14632,(+/- 1878 ),37321,(+/- 3365 ),71435,(+/- 3158 ),17698,(+/- 2088 ),15992,(+/- 1988 ),18858,(+/- 2113 ),25682,(+/- 2156 ),35660,(+/- 3711 ),3762,(+/- 925 ),38808,(+/- 3254 ),17140,(+/- 1920 ),24210,(+/- 2342 ),11091,(+/- 1292 ),21589,(+/- 2357 ),6818,(+/- 1185 ),5686,(+/- 1096 ),18807,(+/- 1895 ),13389,(+/- 1516 ),9577,(+/- 1434 ),7246,(+/- 1256 ),48777,(+/- 3497 ),56787,(+/- 3979 ),19695,(+/- 1475 ),36977,(+/- 2376 ),39891,(+/- 2872 ),53267,(+/- 3200 ),14703,(+/- 1736 ),8050,(+/- 1440 ),3014,(+/- 829 ),6328,(+/- 1103 ),36046,(+/- 2685 ),26058,(+/- 2082 ),2283,(+/- 704 ),4502,(+/- 1064 ),5805,(+/- 1288 ),14547,(+/- 1842 )
Housing,Value,"$500,000 to $999,999",3305,(+/- 875 ),14183,(+/- 2078 ),23312,(+/- 2061 ),6233,(+/- 1161 ),6778,(+/- 1438 ),4897,(+/- 1281 ),22459,(+/- 1995 ),14289,(+/- 1921 ),809,(+/- 387 ),19398,(+/- 1926 ),6178,(+/- 1133 ),8735,(+/- 1323 ),3257,(+/- 640 ),4699,(+/- 1035 ),1857,(+/- 650 ),2463,(+/- 859 ),5532,(+/- 1204 ),7799,(+/- 1503 ),3120,(+/- 907 ),1479,(+/- 519 ),23090,(+/- 2177 ),16908,(+/- 2377 ),7687,(+/- 1345 ),17517,(+/- 2070 ),26437,(+/- 2409 ),16845,(+/- 1481 ),3929,(+/- 804 ),2154,(+/- 609 ),1409,(+/- 815 ),3392,(+/- 916 ),6570,(+/- 1111 ),16465,(+/- 1609 ),641,(+/- 391 ),1708,(+/- 546 ),1603,(+/- 482 ),2890,(+/- 884 )
Housing,Value,"$1,000,000 or more",849,(+/- 372 ),4320,(+/- 1061 ),2251,(+/- 590 ),864,(+/- 366 ),1315,(+/- 566 ),138,(+/- 152 ),15885,(+/- 1326 ),3974,(+/- 1166 ),106,(+/- 153 ),4550,(+/- 918 ),1863,(+/- 516 ),2254,(+/- 610 ),1219,(+/- 397 ),264,(+/- 178 ),283,(+/- 227 ),647,(+/- 516 ),963,(+/- 377 ),1406,(+/- 642 ),693,(+/- 372 ),1016,(+/- 576 ),6565,(+/- 1147 ),1832,(+/- 1081 ),1053,(+/- 420 ),3271,(+/- 773 ),7845,(+/- 1148 ),2467,(+/- 829 ),949,(+/- 524 ),405,(+/- 220 ),310,(+/- 237 ),706,(+/- 405 ),634,(+/- 291 ),13310,(+/- 1329 ),373,(+/- 280 ),500,(+/- 296 ),174,(+/- 137 ),1380,(+/- 770 )
Housing,Value,Median (dollars),125600,(+/- 5282 ),216400,(+/- 7028 ),296800,(+/- 4644 ),122900,(+/- 3801 ),130300,(+/- 6205 ),163800,(+/- 2991 ),252300,(+/- 10292 ),198000,(+/- 8574 ),123700,(+/- 3034 ),228600,(+/- 5423 ),135900,(+/- 5198 ),167000,(+/- 4711 ),111300,(+/- 3584 ),151500,(+/- 4425 ),96200,(+/- 4317 ),125700,(+/- 3773 ),158500,(+/- 5392 ),130900,(+/- 5330 ),104500,(+/- 4419 ),132400,(+/- 3581 ),271100,(+/- 5988 ),260200,(+/- 5182 ),116200,(+/- 4692 ),255000,(+/- 7082 ),231200,(+/- 8867 ),247100,(+/- 5786 ),133400,(+/- 4871 ),112800,(+/- 4825 ),99800,(+/- 2844 ),113300,(+/- 3343 ),213600,(+/- 4930 ),220100,(+/- 7826 ),91300,(+/- 2872 ),80200,(+/- 2806 ),131300,(+/- 6325 ),132500,(+/- 5058 )
Housing,Mortgage Status,Owner-occupied units,164037,(+/- 4247 ),176892,(+/- 5480 ),198422,(+/- 3655 ),189257,(+/- 4612 ),160070,(+/- 5057 ),172665,(+/- 4840 ),152057,(+/- 5068 ),195651,(+/- 5973 ),125313,(+/- 4604 ),192081,(+/- 5706 ),179251,(+/- 4450 ),174292,(+/- 4526 ),164668,(+/- 4569 ),173120,(+/- 3905 ),147736,(+/- 4959 ),140638,(+/- 4894 ),155291,(+/- 4193 ),130920,(+/- 5105 ),156909,(+/- 4743 ),138954,(+/- 4583 ),185479,(+/- 5155 ),204537,(+/- 5546 ),159791,(+/- 5311 ),146779,(+/- 4493 ),184023,(+/- 4940 ),200077,(+/- 4208 ),166914,(+/- 4573 ),147511,(+/- 5141 ),121448,(+/- 4825 ),134880,(+/- 4082 ),175293,(+/- 4568 ),157745,(+/- 3729 ),106997,(+/- 3828 ),141931,(+/- 3808 ),130158,(+/- 4626 ),173684,(+/- 5298 )
Housing,Mortgage Status,Housing units with a mortgage,77105,(+/- 4172 ),117610,(+/- 4865 ),141741,(+/- 4432 ),97213,(+/- 4366 ),86123,(+/- 4104 ),117145,(+/- 4868 ),95828,(+/- 4673 ),110046,(+/- 6060 ),78642,(+/- 4175 ),122340,(+/- 5479 ),78793,(+/- 3592 ),112628,(+/- 4005 ),78382,(+/- 3471 ),90996,(+/- 3442 ),67084,(+/- 3809 ),84021,(+/- 4718 ),86849,(+/- 4410 ),75604,(+/- 4284 ),72042,(+/- 4080 ),84889,(+/- 3994 ),116446,(+/- 4848 ),135821,(+/- 5859 ),81570,(+/- 4170 ),99080,(+/- 4037 ),113495,(+/- 4377 ),149048,(+/- 4217 ),81951,(+/- 4172 ),73233,(+/- 3888 ),58148,(+/- 4108 ),81755,(+/- 3975 ),123361,(+/- 4200 ),102646,(+/- 3342 ),54815,(+/- 3160 ),55265,(+/- 3707 ),79608,(+/- 4331 ),85055,(+/- 4719 )
Housing,Mortgage Status,Housing units without a mortgage,86932,(+/- 3406 ),59282,(+/- 3450 ),56681,(+/- 3552 ),92044,(+/- 4170 ),73947,(+/- 3299 ),55520,(+/- 2955 ),56229,(+/- 3270 ),85605,(+/- 4486 ),46671,(+/- 2815 ),69741,(+/- 3593 ),100458,(+/- 3934 ),61664,(+/- 3417 ),86286,(+/- 3934 ),82124,(+/- 3396 ),80652,(+/- 3627 ),56617,(+/- 2632 ),68442,(+/- 3731 ),55316,(+/- 3351 ),84867,(+/- 3337 ),54065,(+/- 3041 ),69033,(+/- 3989 ),68716,(+/- 4724 ),78221,(+/- 3727 ),47699,(+/- 3267 ),70528,(+/- 3454 ),51029,(+/- 3372 ),84963,(+/- 3529 ),74278,(+/- 3901 ),63300,(+/- 3295 ),53125,(+/- 3145 ),51932,(+/- 2963 ),55099,(+/- 3219 ),52182,(+/- 2878 ),86666,(+/- 4261 ),50550,(+/- 2576 ),88629,(+/- 3844 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,77105,(+/- 4172 ),117610,(+/- 4865 ),141741,(+/- 4432 ),97213,(+/- 4366 ),86123,(+/- 4104 ),117145,(+/- 4868 ),95828,(+/- 4673 ),110046,(+/- 6060 ),78642,(+/- 4175 ),122340,(+/- 5479 ),78793,(+/- 3592 ),112628,(+/- 4005 ),78382,(+/- 3471 ),90996,(+/- 3442 ),67084,(+/- 3809 ),84021,(+/- 4718 ),86849,(+/- 4410 ),75604,(+/- 4284 ),72042,(+/- 4080 ),84889,(+/- 3994 ),116446,(+/- 4848 ),135821,(+/- 5859 ),81570,(+/- 4170 ),99080,(+/- 4037 ),113495,(+/- 4377 ),149048,(+/- 4217 ),81951,(+/- 4172 ),73233,(+/- 3888 ),58148,(+/- 4108 ),81755,(+/- 3975 ),123361,(+/- 4200 ),102646,(+/- 3342 ),54815,(+/- 3160 ),55265,(+/- 3707 ),79608,(+/- 4331 ),85055,(+/- 4719 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,1262,(+/- 675 ),509,(+/- 365 ),633,(+/- 468 ),1995,(+/- 785 ),1481,(+/- 682 ),857,(+/- 390 ),402,(+/- 305 ),996,(+/- 473 ),956,(+/- 671 ),598,(+/- 311 ),1770,(+/- 682 ),930,(+/- 501 ),925,(+/- 398 ),357,(+/- 236 ),2893,(+/- 1117 ),1506,(+/- 821 ),691,(+/- 321 ),1003,(+/- 495 ),2085,(+/- 615 ),1232,(+/- 606 ),296,(+/- 270 ),99,(+/- 118 ),1431,(+/- 722 ),154,(+/- 150 ),1176,(+/- 550 ),726,(+/- 351 ),1335,(+/- 521 ),1763,(+/- 814 ),762,(+/- 513 ),664,(+/- 361 ),355,(+/- 259 ),126,(+/- 121 ),860,(+/- 396 ),2789,(+/- 902 ),798,(+/- 389 ),1765,(+/- 621 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,25366,(+/- 2674 ),9643,(+/- 1593 ),5747,(+/- 1204 ),27689,(+/- 2728 ),20221,(+/- 2054 ),16166,(+/- 1871 ),6073,(+/- 1560 ),15749,(+/- 2356 ),17320,(+/- 2376 ),12600,(+/- 1639 ),20740,(+/- 2351 ),17173,(+/- 1918 ),26701,(+/- 2365 ),15214,(+/- 2309 ),22546,(+/- 2515 ),26045,(+/- 2553 ),18065,(+/- 1950 ),15262,(+/- 1951 ),24841,(+/- 2431 ),22475,(+/- 2323 ),11159,(+/- 1844 ),6808,(+/- 1512 ),22507,(+/- 2716 ),6776,(+/- 1043 ),17295,(+/- 1982 ),8429,(+/- 1708 ),19201,(+/- 1719 ),22674,(+/- 2715 ),14116,(+/- 2100 ),22603,(+/- 2400 ),17324,(+/- 1781 ),8655,(+/- 1516 ),18257,(+/- 1931 ),22180,(+/- 2586 ),21237,(+/- 2269 ),18393,(+/- 2338 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",27332,(+/- 2710 ),31603,(+/- 2595 ),24725,(+/- 2465 ),31717,(+/- 2536 ),33518,(+/- 2996 ),47140,(+/- 3450 ),24132,(+/- 2778 ),33094,(+/- 3808 ),37326,(+/- 3298 ),31967,(+/- 3018 ),25557,(+/- 2134 ),39614,(+/- 2937 ),27425,(+/- 2306 ),29703,(+/- 2839 ),21453,(+/- 2263 ),33150,(+/- 3476 ),30908,(+/- 2723 ),30012,(+/- 3121 ),23596,(+/- 2580 ),33208,(+/- 2878 ),28557,(+/- 2846 ),23292,(+/- 2554 ),23291,(+/- 2973 ),25922,(+/- 2087 ),29596,(+/- 2775 ),37888,(+/- 3136 ),30837,(+/- 3032 ),28022,(+/- 2309 ),30744,(+/- 3411 ),35696,(+/- 2908 ),38453,(+/- 3109 ),30705,(+/- 2384 ),26155,(+/- 2763 ),18952,(+/- 2463 ),34188,(+/- 3147 ),29036,(+/- 3231 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",14239,(+/- 1748 ),32001,(+/- 3226 ),37653,(+/- 2647 ),17994,(+/- 2190 ),15561,(+/- 1793 ),29856,(+/- 2567 ),25444,(+/- 3421 ),21765,(+/- 2984 ),16347,(+/- 2217 ),31189,(+/- 3205 ),15887,(+/- 2171 ),28748,(+/- 2698 ),13111,(+/- 1949 ),24998,(+/- 2601 ),13237,(+/- 1845 ),14135,(+/- 2237 ),21795,(+/- 2229 ),15515,(+/- 2062 ),10758,(+/- 1380 ),17422,(+/- 1660 ),30529,(+/- 3022 ),33730,(+/- 3537 ),14098,(+/- 2035 ),22247,(+/- 1920 ),19443,(+/- 2109 ),42045,(+/- 3254 ),17082,(+/- 2205 ),11771,(+/- 1950 ),8410,(+/- 1951 ),13081,(+/- 1905 ),33221,(+/- 2461 ),24092,(+/- 2230 ),7214,(+/- 1335 ),7216,(+/- 1295 ),16714,(+/- 2198 ),20635,(+/- 2378 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",4536,(+/- 1012 ),16038,(+/- 2126 ),29032,(+/- 2712 ),8665,(+/- 1955 ),7069,(+/- 1192 ),12829,(+/- 1745 ),12004,(+/- 2076 ),13777,(+/- 2317 ),4978,(+/- 1310 ),19175,(+/- 2356 ),8252,(+/- 1534 ),12333,(+/- 1763 ),5213,(+/- 1039 ),9672,(+/- 1542 ),4331,(+/- 1132 ),4803,(+/- 1213 ),7473,(+/- 1369 ),5785,(+/- 1249 ),5495,(+/- 1308 ),7255,(+/- 1307 ),18016,(+/- 2458 ),30856,(+/- 3159 ),7149,(+/- 1107 ),14576,(+/- 1881 ),16105,(+/- 1771 ),23318,(+/- 2465 ),7428,(+/- 1507 ),5883,(+/- 1409 ),1857,(+/- 749 ),5080,(+/- 1309 ),17020,(+/- 1974 ),13095,(+/- 1565 ),1590,(+/- 584 ),2396,(+/- 718 ),4747,(+/- 1209 ),9168,(+/- 1655 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",2436,(+/- 756 ),10639,(+/- 1966 ),19642,(+/- 2639 ),5234,(+/- 1040 ),3598,(+/- 815 ),5560,(+/- 1149 ),7084,(+/- 1555 ),9499,(+/- 2295 ),919,(+/- 502 ),12180,(+/- 2004 ),3369,(+/- 930 ),6279,(+/- 1422 ),2379,(+/- 727 ),5210,(+/- 1112 ),1576,(+/- 595 ),2048,(+/- 662 ),4505,(+/- 1100 ),3015,(+/- 794 ),2406,(+/- 884 ),1623,(+/- 583 ),12412,(+/- 1628 ),20153,(+/- 2397 ),5235,(+/- 1135 ),11022,(+/- 1505 ),9070,(+/- 1370 ),17331,(+/- 2536 ),2661,(+/- 749 ),1821,(+/- 674 ),409,(+/- 360 ),3018,(+/- 1002 ),9091,(+/- 1414 ),7194,(+/- 1306 ),282,(+/- 221 ),574,(+/- 376 ),931,(+/- 424 ),2583,(+/- 938 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",1934,(+/- 634 ),17177,(+/- 2508 ),24309,(+/- 2150 ),3919,(+/- 847 ),4675,(+/- 1075 ),4737,(+/- 1027 ),20689,(+/- 1821 ),15166,(+/- 2313 ),796,(+/- 497 ),14631,(+/- 1692 ),3218,(+/- 887 ),7551,(+/- 1335 ),2628,(+/- 674 ),5842,(+/- 1493 ),1048,(+/- 602 ),2334,(+/- 869 ),3412,(+/- 967 ),5012,(+/- 1036 ),2861,(+/- 857 ),1674,(+/- 713 ),15477,(+/- 1935 ),20883,(+/- 2959 ),7859,(+/- 1209 ),18383,(+/- 2146 ),20810,(+/- 2039 ),19311,(+/- 1733 ),3407,(+/- 873 ),1299,(+/- 473 ),1850,(+/- 914 ),1613,(+/- 426 ),7897,(+/- 1436 ),18779,(+/- 1772 ),457,(+/- 386 ),1158,(+/- 532 ),993,(+/- 462 ),3475,(+/- 909 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1189,(+/- 28 ),1739,(+/- 40 ),2036,(+/- 46 ),1241,(+/- 40 ),1317,(+/- 29 ),1443,(+/- 25 ),1798,(+/- 69 ),1595,(+/- 58 ),1285,(+/- 32 ),1734,(+/- 37 ),1314,(+/- 42 ),1483,(+/- 32 ),1185,(+/- 32 ),1504,(+/- 47 ),1196,(+/- 53 ),1211,(+/- 37 ),1405,(+/- 32 ),1346,(+/- 43 ),1176,(+/- 37 ),1269,(+/- 32 ),1785,(+/- 46 ),2065,(+/- 46 ),1339,(+/- 50 ),1867,(+/- 52 ),1661,(+/- 42 ),1801,(+/- 39 ),1317,(+/- 41 ),1206,(+/- 44 ),1185,(+/- 27 ),1224,(+/- 26 ),1570,(+/- 32 ),1725,(+/- 43 ),1128,(+/- 24 ),1062,(+/- 47 ),1236,(+/- 32 ),1388,(+/- 40 )
