Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",318478,H,242726,H,43711,G,41303,G,33166,H,88091,H
Business,"Annual payroll ($1,000)",Accommodation and food services,621227,G,1104784,G,651023,G,457784,G,317878,G,579633,G
Business,"Annual payroll ($1,000)",Other services (except public administration),481579,G,394749,G,360037,G,245766,G,252199,G,496686,G
Business,"Annual payroll ($1,000)",Industries not classified,825,G,542,H,913,G,1601,G,987,G,561,G
Business,Total Establishments,Total for all sectors,21006,X,15688,X,19853,X,15041,X,15228,X,18252,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",70,X,13,X,50,X,216,X,211,X,39,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",191,X,62,X,576,X,434,X,170,X,121,X
Business,Total Establishments,Utilities,52,X,64,X,70,X,125,X,136,X,54,X
Business,Total Establishments,Construction,1705,X,916,X,1496,X,1228,X,1069,X,1575,X
Business,Total Establishments,Manufacturing,599,X,485,X,817,X,420,X,435,X,517,X
Business,Total Establishments,Wholesale trade,1265,X,721,X,1118,X,705,X,642,X,922,X
Business,Total Establishments,Retail trade,2946,X,2568,X,2987,X,2500,X,2695,X,2827,X
Business,Total Establishments,Transportation and warehousing,866,X,676,X,803,X,563,X,495,X,518,X
Business,Total Establishments,Information,281,X,224,X,229,X,213,X,231,X,239,X
Business,Total Establishments,Finance and insurance,1514,X,906,X,1312,X,1112,X,1187,X,1388,X
Business,Total Establishments,Real estate and rental and leasing,1042,X,670,X,1053,X,658,X,643,X,868,X
Business,Total Establishments,"Professional, scientific, and technical services",2637,X,1920,X,2491,X,1364,X,1456,X,2322,X
Business,Total Establishments,Management of companies and enterprises,161,X,130,X,123,X,71,X,70,X,108,X
Business,Total Establishments,Administrative and support and waste management and remediation services,1097,X,727,X,791,X,583,X,567,X,878,X
Business,Total Establishments,Educational services,248,X,256,X,190,X,149,X,159,X,254,X
Business,Total Establishments,Health care and social assistance,2437,X,1515,X,2291,X,1794,X,2164,X,1932,X
Business,Total Establishments,"Arts, entertainment, and recreation",311,X,247,X,257,X,177,X,182,X,252,X
Business,Total Establishments,Accommodation and food services,1910,X,1970,X,1584,X,1190,X,1064,X,1670,X
Business,Total Establishments,Other services (except public administration),1643,X,1598,X,1591,X,1507,X,1628,X,1744,X
Business,Total Establishments,Industries not classified,31,X,20,X,24,X,32,X,24,X,24,X

Source: 2015 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
