Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",35375,H,40453,G,215662,H,57177,G,11982,G,99399,G
Business,"Annual payroll ($1,000)",Accommodation and food services,269253,G,357162,G,718969,G,402681,G,228950,G,528723,G
Business,"Annual payroll ($1,000)",Other services (except public administration),208826,G,218920,G,575678,G,262918,G,104965,G,360615,G
Business,"Annual payroll ($1,000)",Industries not classified,1503,G,3296,G,633,G,848,G,2909,G,3396,G
Business,Total Establishments,Total for all sectors,14376,X,14625,X,19354,X,14234,X,11848,X,16951,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",44,X,25,X,6,X,33,X,37,X,78,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",95,X,62,X,3,X,27,X,253,X,31,X
Business,Total Establishments,Utilities,68,X,52,X,30,X,69,X,56,X,60,X
Business,Total Establishments,Construction,1119,X,1404,X,1323,X,1337,X,699,X,1219,X
Business,Total Establishments,Manufacturing,778,X,614,X,678,X,605,X,367,X,650,X
Business,Total Establishments,Wholesale trade,642,X,535,X,1144,X,692,X,449,X,726,X
Business,Total Establishments,Retail trade,2733,X,2531,X,2704,X,2140,X,2458,X,2618,X
Business,Total Establishments,Transportation and warehousing,468,X,460,X,554,X,565,X,525,X,363,X
Business,Total Establishments,Information,195,X,180,X,360,X,211,X,235,X,294,X
Business,Total Establishments,Finance and insurance,946,X,980,X,1489,X,979,X,778,X,1131,X
Business,Total Establishments,Real estate and rental and leasing,483,X,546,X,938,X,552,X,371,X,786,X
Business,Total Establishments,"Professional, scientific, and technical services",994,X,1062,X,2182,X,1335,X,814,X,1834,X
Business,Total Establishments,Management of companies and enterprises,74,X,72,X,273,X,115,X,56,X,107,X
Business,Total Establishments,Administrative and support and waste management and remediation services,493,X,606,X,1122,X,665,X,350,X,732,X
Business,Total Establishments,Educational services,131,X,134,X,234,X,131,X,79,X,189,X
Business,Total Establishments,Health care and social assistance,1942,X,2260,X,2406,X,1708,X,2117,X,2432,X
Business,Total Establishments,"Arts, entertainment, and recreation",172,X,211,X,326,X,232,X,99,X,292,X
Business,Total Establishments,Accommodation and food services,1205,X,1171,X,1744,X,1340,X,915,X,1533,X
Business,Total Establishments,Other services (except public administration),1722,X,1576,X,1808,X,1475,X,1045,X,1738,X
Business,Total Establishments,Industries not classified,72,X,144,X,30,X,23,X,145,X,138,X

Source: 2015 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
